Sub_id,Stimulus,Response,Correct,Confidence,RT decision,RT confidence,Condition,Noise Level
1,1,1,1,2,0.676,1.137,2,0.94
1,4,4,1,1,1.646,0.248,2,0.94
1,6,6,1,1,1.085,0.391,2,0.95
1,3,3,1,4,0.959,1.46,2,0.96
1,1,3,0,1,1.839,0.961,2,0.97
1,1,5,0,2,1.107,0.666,2,0.96
1,1,7,0,2,1.089,0.779,2,0.95
1,7,7,1,2,0.869,0.942,2,0.94
1,4,4,1,2,0.765,0.681,2,0.94
1,8,8,1,1,0.731,0.701,2,0.95
1,8,6,0,1,1.812,0.233,2,0.96
1,3,3,1,1,0.987,0.31,2,0.95
1,7,7,1,1,1.71,0.152,2,0.95
1,4,7,0,1,0.498,0.241,2,0.96
1,7,7,1,1,0.32,0.223,2,0.95
1,2,3,0,1,1.911,0.268,2,0.95
1,8,8,1,2,1.24,0.376,2,0.94
1,6,6,1,3,0.879,0.336,2,0.94
1,6,6,1,3,0.534,0.21,2,0.95
1,1,7,0,1,1.583,1.4,2,0.96
1,5,5,1,2,0.776,0.49,2,0.95
1,2,2,1,1,1.218,0.683,2,0.95
1,3,3,1,2,0.63,0.632,2,0.96
1,6,5,0,1,1.42,0.161,2,0.97
1,6,3,0,1,0.783,0.295,2,0.96
1,4,4,1,4,2.914,1.171,2,0.95
1,4,1,0,1,2.854,0.398,2,0.95
1,7,7,1,1,1.048,0.098,2,0.94
1,6,6,1,1,0.809,0.103,2,0.94
1,4,4,1,2,0.807,0.515,2,0.95
1,7,4,0,1,1.44,0.21,2,0.96
1,2,4,0,1,1.363,0.19,2,0.95
1,1,7,0,1,0.625,0.136,2,0.94
1,5,6,0,1,0.936,0.134,2,0.93
1,4,4,1,1,0.69,0.069,2,0.92
1,2,6,0,1,2.915,0.092,2,0.92
1,3,3,1,4,1.309,0.103,2,0.91
1,2,2,1,4,1.013,0.13,2,0.91
1,2,2,1,4,0.498,0.121,2,0.92
1,2,2,1,4,0.314,0.118,2,0.93
1,2,2,1,1,0.997,0.305,2,0.94
1,7,7,1,4,1.162,0.095,2,0.95
1,3,7,0,1,2.963,0.08,2,0.96
1,7,7,1,1,0.384,0.18,2,0.95
1,3,3,1,4,0.845,1.104,2,0.95
1,1,2,0,1,0.941,0.371,2,0.96
1,4,6,0,1,1.09,0.178,2,0.95
1,6,6,1,1,0.952,0.106,2,0.94
1,5,3,0,2,0.799,0.97,2,0.94
1,3,3,1,4,0.574,0.632,2,0.93
1,5,5,1,4,0.703,0.24,2,0.93
1,8,8,1,2,1.154,0.397,2,0.94
1,2,2,1,1,1.378,0.366,2,0.95
1,4,3,0,1,0.914,0.281,2,0.96
1,5,2,0,1,1.386,0.373,2,0.95
1,8,7,0,1,0.668,0.211,2,0.94
1,8,8,1,1,0.671,0.208,2,0.93
1,2,6,0,1,1.299,0.251,2,0.93
1,6,6,1,1,0.589,0.232,2,0.92
1,3,3,1,4,0.91,0.438,2,0.92
1,8,7,0,1,0.742,0.261,2,0.93
1,5,6,0,1,0.602,0.095,2,0.92
1,8,8,1,4,0.609,0.205,2,0.91
1,3,3,1,4,1.023,0.244,2,0.91
1,6,6,1,4,0.802,0.175,2,0.92
1,6,6,1,4,0.316,0.133,2,0.93
1,5,5,1,4,0.725,0.336,2,0.94
1,8,8,1,2,0.783,0.577,2,0.95
1,7,7,1,1,0.879,0.703,2,0.96
1,4,7,0,1,0.613,0.085,2,0.97
1,3,6,0,1,0.613,0.097,2,0.96
1,5,5,1,1,0.429,0.202,2,0.95
1,6,8,0,1,1.088,0.248,2,0.95
1,3,3,1,1,0.94,0.213,2,0.94
1,7,7,1,1,0.829,0.064,2,0.94
1,8,6,0,1,0.484,0.096,2,0.95
1,7,7,1,1,0.672,0.106,2,0.94
1,4,7,0,2,1.517,0.39,2,0.94
1,6,6,1,4,0.751,0.104,2,0.93
1,3,3,1,4,1.217,0.095,2,0.93
1,6,6,1,4,0.987,0.053,2,0.94
1,4,3,0,1,1.653,0.592,2,0.95
1,6,6,1,4,0.694,0.098,2,0.94
1,1,7,0,2,0.922,0.112,2,0.94
1,7,7,1,2,0.469,0.137,2,0.93
1,3,3,1,4,0.783,0.216,2,0.93
1,8,6,0,1,1.784,0.09,2,0.94
1,8,7,0,1,1.07,0.091,2,0.93
1,8,8,1,1,0.601,0.087,2,0.92
1,2,2,1,4,0.612,0.272,2,0.92
1,7,7,1,4,0.811,0.102,2,0.93
1,7,7,1,4,0.371,0.059,2,0.94
1,8,8,1,2,2.119,0.171,2,0.95
1,3,3,1,1,1.107,0.647,2,0.96
1,7,7,1,1,0.833,0.189,2,0.97
1,6,2,0,1,3.215,0.214,2,0.98
1,2,3,0,1,1.199,0.289,2,0.97
1,7,7,1,1,0.978,0.143,2,0.96
1,1,6,0,1,0.675,0.198,2,0.96
1,4,8,0,1,0.634,0.149,2,0.95
1,1,1,1,1,0.948,0.672,2,0.94
1,5,5,1,4,0.788,0.293,2,0.93
1,3,6,0,1,1.45,0.249,2,0.93
1,3,5,0,1,1.841,0.065,2,0.94
1,6,6,1,3,1.107,0.379,2,0.95
1,1,7,0,1,1.909,0.556,2,0.96
1,6,6,1,4,0.751,0.249,2,0.97
1,8,8,1,4,0.706,0.338,2,0.98
1,1,6,0,2,0.984,0.334,2,0.99
1,4,4,1,1,1.079,0.37,2,0.99
1,4,4,1,1,1.604,0.284,2,0.98
1,1,1,1,1,0.9,0.272,2,0.98
1,4,4,1,1,0.901,0.237,2,0.99
1,4,4,1,2,0.669,0.463,2,0.99
1,2,3,0,2,1.153,0.222,2,0.98
1,7,7,1,2,0.767,0.318,2,0.98
1,2,7,0,2,0.428,0.118,2,0.97
1,8,8,1,1,0.649,0.164,2,0.96
1,5,5,1,3,0.854,0.216,2,0.96
1,5,5,1,1,0.731,0.631,2,0.97
1,5,6,0,1,1.454,0.115,2,0.96
1,6,6,1,1,0.674,0.055,2,0.95
1,7,6,0,1,0.428,0.063,2,0.95
1,2,5,0,1,0.346,0.22,2,0.96
1,4,8,0,1,0.715,0.083,2,0.95
1,8,6,0,1,0.645,0.092,2,0.95
1,1,1,1,4,0.409,0.614,2,0.94
1,6,6,1,4,1.055,0.078,2,0.94
1,6,6,1,4,0.338,0.063,2,0.95
1,1,1,1,4,0.676,0.576,2,0.94
1,2,2,1,1,0.785,0.774,2,0.94
1,5,6,0,2,1.232,0.108,2,0.93
1,8,8,1,3,0.767,0.171,2,0.93
1,6,6,1,3,0.636,0.087,2,0.94
1,5,6,0,2,0.657,0.599,2,0.95
1,4,4,1,2,0.844,1.575,2,0.96
1,6,6,1,3,0.812,0.124,2,0.95
1,3,8,0,2,2.015,0.082,2,0.95
1,7,7,1,3,0.841,0.344,2,0.96
1,1,7,0,3,0.487,0.726,2,0.97
1,2,2,1,1,0.628,0.43,2,0.96
1,3,3,1,4,0.91,0.217,2,0.95
1,1,7,0,1,1.336,0.069,2,0.94
1,7,7,1,4,0.587,0.693,2,0.94
1,8,8,1,4,0.738,0.088,2,0.93
1,2,2,1,4,0.821,0.178,2,0.93
1,6,6,1,1,1.065,0.325,2,0.94
1,6,6,1,1,0.607,0.107,2,0.95
1,7,6,0,1,0.324,0.109,2,0.96
1,6,5,0,1,1.242,0.138,2,0.97
1,5,3,0,1,0.827,0.267,2,0.98
1,7,7,1,1,0.64,0.097,2,0.97
1,6,6,1,2,1.24,0.087,2,0.97
1,6,6,1,2,0.525,0.088,2,0.98
1,1,8,0,2,0.583,0.131,2,0.99
1,8,8,1,1,0.85,0.042,2,0.98
1,4,7,0,1,0.442,0.109,2,0.98
1,7,7,1,1,0.574,0.114,2,0.99
1,3,8,0,2,1.578,0.164,2,0.98
1,4,1,0,1,10.622,0.51,2,0.98
1,2,2,1,4,1.11,0.189,2,0.97
1,5,3,0,1,1.321,0.204,2,0.97
1,7,7,1,4,0.843,0.087,2,0.96
1,3,3,1,4,0.775,0.118,2,0.96
1,1,7,0,2,0.835,0.407,2,0.95
1,3,6,0,1,3.242,0.057,2,0.95
1,5,5,1,3,0.692,1.352,2,0.96
1,1,7,0,2,0.861,0.381,2,0.97
1,5,5,1,4,0.685,0.284,2,0.96
1,3,3,1,4,0.631,0.122,2,0.96
1,6,6,1,4,1.0,0.059,2,0.95
1,1,7,0,1,0.935,0.78,2,0.95
1,4,4,1,2,1.1,0.514,2,0.96
1,2,2,1,4,0.554,0.241,2,0.97
1,8,8,1,4,0.872,0.116,2,0.98
1,3,3,1,4,0.774,0.093,2,0.99
1,5,5,1,2,0.988,0.454,2,0.98
1,8,6,0,1,0.699,0.307,2,0.97
1,4,4,1,2,0.699,0.353,2,0.97
1,4,4,1,3,0.315,0.265,2,0.96
1,2,2,1,1,0.633,0.301,2,0.95
1,8,3,0,2,0.421,0.491,2,0.95
1,2,2,1,4,0.515,0.603,2,0.96
1,1,6,0,1,0.957,0.242,2,0.97
1,5,5,1,1,0.824,0.382,2,0.96
1,7,7,1,1,0.76,0.161,2,0.95
1,4,7,0,1,0.361,0.121,2,0.95
1,3,3,1,4,0.541,0.878,2,0.94
1,5,3,0,1,1.129,0.434,2,0.93
1,1,1,1,4,0.391,0.399,2,0.93
1,4,4,1,4,0.596,0.484,2,0.94
1,2,2,1,4,0.344,0.317,2,0.95
1,8,8,1,3,0.979,0.978,2,0.96
1,1,7,0,1,0.736,0.479,2,0.97
1,3,3,1,4,0.441,0.341,2,0.96
1,3,3,1,3,0.65,0.914,2,0.96
1,8,3,0,2,0.417,0.481,2,0.97
1,5,5,1,1,0.939,0.269,2,0.96
1,2,2,1,4,0.392,0.474,2,0.96
1,7,7,1,1,0.696,0.251,2,0.97
1,1,1,1,1,0.375,0.234,2,0.93
1,8,8,1,2,0.779,0.696,2,0.94
1,4,4,1,2,1.202,0.243,2,0.95
1,7,7,1,4,0.687,0.186,2,0.94
1,5,6,0,4,0.69,0.09,2,0.94
1,5,5,1,4,0.493,0.072,2,0.95
1,3,3,1,4,0.645,0.126,2,0.96
1,3,3,1,4,0.374,0.085,2,0.97
1,8,8,1,3,1.243,0.186,2,0.96
1,7,7,1,2,0.622,0.153,2,0.96
1,2,6,0,1,1.861,0.046,2,0.97
1,3,3,1,1,1.125,0.18,2,0.96
1,7,7,1,2,0.914,0.093,2,0.96
1,6,4,0,1,1.056,0.26,2,0.97
1,7,7,1,1,0.58,0.034,2,0.98
1,2,2,1,1,0.799,0.108,2,0.99
1,3,2,0,1,0.463,0.068,2,0.98
1,6,6,1,1,0.81,0.063,2,0.97
1,8,3,0,1,0.609,0.274,2,0.97
1,5,3,0,1,0.34,0.314,2,0.96
1,6,6,1,1,0.454,0.102,2,0.96
1,7,7,1,1,0.983,0.112,2,0.95
1,2,2,1,2,0.433,0.638,2,0.95
1,4,7,0,1,0.691,0.487,2,0.96
1,8,8,1,3,0.43,0.478,2,0.97
1,1,7,0,1,0.371,0.224,2,0.96
1,8,8,1,3,0.371,0.64,2,0.95
1,8,8,1,3,0.41,0.185,2,0.94
1,6,6,1,3,1.037,0.168,2,0.94
1,2,2,1,2,0.457,0.239,2,0.95
1,4,6,0,1,0.625,0.129,2,0.96
1,4,7,0,1,0.386,0.122,2,0.97
1,6,6,1,1,1.019,0.05,2,0.96
1,8,8,1,2,1.103,0.262,2,0.95
1,7,7,1,1,0.448,0.149,2,0.95
1,7,7,1,1,0.319,0.129,2,0.96
1,4,7,0,2,0.212,0.11,2,0.97
1,3,6,0,1,0.295,0.1,2,0.98
1,3,3,1,3,1.078,0.193,2,0.97
1,3,6,0,1,0.414,1.211,2,0.96
1,3,3,1,1,1.319,0.105,2,0.96
1,7,7,1,1,1.255,0.378,2,0.97
1,4,4,1,1,0.888,0.576,2,0.96
1,4,4,1,1,0.483,0.241,2,0.95
1,2,4,0,1,0.241,0.168,2,0.95
1,1,6,0,1,0.207,0.083,2,0.96
1,3,3,1,2,0.749,0.282,2,0.97
1,6,3,0,1,0.771,0.212,2,0.96
1,7,3,0,1,0.77,0.165,2,0.96
1,4,7,0,1,0.864,0.152,2,0.95
1,6,8,0,2,1.282,0.195,2,0.94
1,2,2,1,3,0.554,0.286,2,0.94
1,1,1,1,4,0.283,0.402,2,0.95
1,8,8,1,4,0.706,0.225,2,0.94
1,3,6,0,1,0.856,1.011,2,0.94
1,5,5,1,2,0.694,0.266,2,0.95
1,2,2,1,3,0.65,0.146,2,0.96
1,1,7,0,3,0.983,0.385,2,0.95
1,1,1,1,4,0.595,0.431,2,0.95
1,2,2,1,4,0.541,0.247,2,0.94
1,4,2,0,1,0.677,0.179,2,0.94
1,7,7,1,3,0.645,0.393,2,0.95
1,2,2,1,4,0.348,0.932,2,0.96
1,2,2,1,4,0.411,0.194,2,0.97
1,3,3,1,4,0.38,0.23,2,0.96
1,5,2,0,1,0.442,0.24,2,0.95
1,4,7,0,1,1.242,0.142,2,0.94
1,7,7,1,4,0.44,0.355,2,0.94
1,2,2,1,3,0.563,0.47,2,0.95
1,1,1,1,3,0.621,0.329,2,0.96
1,5,3,0,1,0.518,0.249,2,0.95
1,7,7,1,2,0.54,0.315,2,0.95
1,8,8,1,1,0.404,0.149,2,0.96
1,1,7,0,1,0.395,0.289,2,0.97
1,6,6,1,1,0.592,0.251,2,0.96
1,5,3,0,1,0.564,0.274,2,0.96
1,1,6,0,1,0.714,0.282,2,0.95
1,4,4,1,3,0.615,0.953,2,0.95
1,8,8,1,4,0.76,0.421,2,0.94
1,3,5,0,3,1.063,0.251,2,0.94
1,4,5,0,4,0.738,1.65,2,0.95
1,5,5,1,4,0.812,0.071,2,0.94
1,2,2,1,4,0.542,0.515,2,0.94
1,3,3,1,2,0.638,0.217,2,0.95
1,5,6,0,2,0.873,0.124,2,0.94
1,4,4,1,2,0.763,0.213,2,0.93
1,5,6,0,2,0.42,0.174,2,0.93
1,2,2,1,4,0.302,0.396,2,0.94
1,1,1,1,4,0.368,0.743,2,0.95
1,5,5,1,4,0.781,0.679,2,0.96
1,1,7,0,2,1.106,0.128,2,0.95
1,8,8,1,2,0.66,0.117,2,0.95
1,5,5,1,1,0.738,0.091,2,0.94
1,7,7,1,1,0.741,0.071,2,0.94
1,4,7,0,1,0.498,0.095,2,0.93
1,7,7,1,1,0.33,0.125,2,0.93
1,4,4,1,1,0.784,0.22,2,0.94
1,5,4,0,1,0.555,0.858,2,0.95
1,3,3,1,1,1.143,0.227,2,0.94
1,8,8,1,1,0.839,0.113,2,0.94
1,5,5,1,1,0.701,0.098,2,0.89
1,5,5,1,1,0.341,0.099,2,0.9
1,8,7,0,1,0.269,0.334,2,0.91
1,2,3,0,1,0.254,0.265,2,0.92
1,3,5,0,1,0.763,0.054,2,0.93
1,3,3,1,2,0.656,0.557,2,0.92
1,4,4,1,2,1.105,0.476,2,0.92
1,2,7,0,1,1.152,0.14,2,0.93
1,6,6,1,3,0.765,0.327,2,0.94
1,2,7,0,1,0.68,0.163,2,0.95
1,6,6,1,2,0.691,0.229,2,0.96
1,2,2,1,3,0.642,0.462,2,0.95
1,6,6,1,3,0.825,0.272,2,0.95
1,4,4,1,1,1.209,0.48,2,0.96
1,8,6,0,2,0.83,0.263,2,0.95
1,5,5,1,1,0.701,0.213,2,0.95
1,1,7,0,1,0.523,0.183,2,0.96
1,6,6,1,3,0.764,0.277,2,0.95
1,2,6,0,1,0.461,0.197,2,0.95
1,8,8,1,4,0.636,0.441,2,0.94
1,7,7,1,1,0.916,0.175,2,0.93
1,6,6,1,3,0.725,0.421,2,0.93
1,6,6,1,4,0.331,0.347,2,0.94
1,3,5,0,3,0.536,0.389,2,0.95
1,8,5,0,2,0.329,0.261,2,0.94
1,1,1,1,1,0.289,0.261,2,0.94
1,6,6,1,4,0.588,0.214,2,0.93
1,6,6,1,4,0.333,0.085,2,0.93
1,5,5,1,2,0.469,1.589,2,0.94
1,3,5,0,1,0.548,0.365,2,0.95
1,4,7,0,1,0.711,0.099,2,0.96
1,3,3,1,1,0.754,0.246,2,0.95
1,2,3,0,1,0.436,0.186,2,0.94
1,1,7,0,1,0.763,0.198,2,0.94
1,6,6,1,3,0.712,0.45,2,0.95
1,8,7,0,2,0.463,0.117,2,0.96
1,2,2,1,4,0.679,0.297,2,0.97
1,4,4,1,4,0.805,0.357,2,0.96
1,1,7,0,4,0.656,0.211,2,0.95
1,7,7,1,4,0.284,0.111,2,0.95
1,3,3,1,4,1.101,0.145,2,0.94
1,6,6,1,4,0.611,0.082,2,0.94
1,7,7,1,4,0.656,0.074,2,0.95
1,2,2,1,4,0.877,0.145,2,0.96
1,1,7,0,4,0.532,0.109,2,0.97
1,5,6,0,1,1.162,0.122,2,0.96
1,7,7,1,4,0.604,0.256,2,0.95
1,5,3,0,1,0.878,0.244,2,0.95
1,1,1,1,4,0.378,0.285,2,0.94
1,1,7,0,1,0.811,0.562,2,0.93
1,1,7,0,2,0.423,0.169,2,0.92
1,8,8,1,4,0.838,0.125,2,0.91
1,6,6,1,4,0.571,0.083,2,0.91
1,1,7,0,4,0.638,0.212,2,0.92
1,8,8,1,4,0.331,0.124,2,0.93
1,4,4,1,4,0.762,0.176,2,0.92
1,6,6,1,4,0.764,0.092,2,0.92
