sat,image_index,subject,stim,response,confidence,correct,resp_rt,conf_rt,repeat,mnist_index
speed focus,1,1,5,5,4,1,0.727209208,0.12075775,0,9
speed focus,1,1,5,8,4,0,0.566475834,0.186408125,1,9
speed focus,1,2,5,4,4,0,0.740370458,0.13590575,0,9
speed focus,1,2,5,4,2,0,0.92176725,0.247506416,1,9
speed focus,1,3,5,2,1,0,0.307568208,2.269485041,0,9
speed focus,1,3,5,3,3,0,0.307126708,0.309177542,1,9
speed focus,1,4,5,6,2,0,1.148291083,0.284323167,0,9
speed focus,1,4,5,2,4,0,0.945715458,1.133047125,1,9
speed focus,1,5,5,7,4,0,0.834847625,0.124237417,0,9
speed focus,1,5,5,6,4,0,0.831931958,0.120866458,1,9
speed focus,1,6,5,8,4,0,0.746280916,0.155476833,0,9
speed focus,1,6,5,4,4,0,0.724399666,0.155940458,1,9
speed focus,1,7,5,5,4,1,0.890897667,0.143480209,0,9
speed focus,1,7,5,8,4,0,0.897382666,0.179436416,1,9
speed focus,1,8,5,5,3,1,1.3987105,0.737508667,0,9
speed focus,1,8,5,5,4,1,0.755863833,0.1845635,1,9
speed focus,1,9,5,6,3,0,1.3413245,3.58752375,0,9
speed focus,1,9,5,6,1,0,1.7210835,1.129515791,1,9
speed focus,1,10,5,8,4,0,0.874928042,0.620781916,0,9
speed focus,1,10,5,5,4,1,0.831056666,0.410096542,1,9
speed focus,1,11,5,8,4,0,0.707500417,0.236921792,0,9
speed focus,1,11,5,8,4,0,0.761348333,0.209724917,1,9
speed focus,1,12,5,7,4,0,0.6652915,0.457726083,0,9
speed focus,1,12,5,6,3,0,0.332739208,1.008639959,1,9
speed focus,1,13,5,3,3,0,0.563769458,0.45070975,0,9
speed focus,1,13,5,5,4,1,0.30561925,0.250991916,1,9
speed focus,1,14,5,5,4,1,1.109629583,0.168181833,0,9
speed focus,1,14,5,8,4,0,0.720473583,0.171797,1,9
speed focus,1,15,5,8,4,0,0.834984084,0.7750905,0,9
speed focus,1,15,5,8,4,0,0.595334459,0.390619875,1,9
speed focus,1,16,5,5,4,1,0.951635709,0.441747917,0,9
speed focus,1,16,5,6,2,0,1.289473292,0.679577209,1,9
speed focus,1,17,5,5,2,1,0.942252167,0.648523625,0,9
speed focus,1,17,5,8,2,0,0.82322,0.711598667,1,9
speed focus,1,18,5,6,2,0,0.831026584,0.858699666,0,9
speed focus,1,18,5,3,1,0,0.496114208,0.5431925,1,9
speed focus,1,19,5,5,3,1,1.049747125,0.303167583,0,9
speed focus,1,19,5,5,3,1,1.191743917,0.329914708,1,9
speed focus,1,20,5,4,4,0,0.971849459,0.620893834,0,9
speed focus,1,20,5,8,4,0,0.645998709,0.1060935,1,9
speed focus,1,21,5,6,4,0,1.027874042,0.646266959,0,9
speed focus,1,21,5,5,4,1,1.437407625,0.200385667,1,9
speed focus,1,22,5,6,4,0,0.745717875,0.92047825,0,9
speed focus,1,22,5,5,2,1,0.973048917,2.164062584,1,9
speed focus,1,23,5,1,1,0,1.301569958,0.314288916,0,9
speed focus,1,23,5,6,1,0,1.847314417,0.235650958,1,9
speed focus,1,24,5,5,4,1,0.730044417,0.672420292,0,9
speed focus,1,24,5,5,4,1,0.684604375,0.231874791,1,9
speed focus,1,25,5,5,3,1,1.340630166,1.091040459,0,9
speed focus,1,25,5,5,2,1,1.138048041,0.526661333,1,9
speed focus,1,26,5,5,4,1,1.174734834,0.165026792,0,9
speed focus,1,26,5,4,1,0,0.800478167,0.845065625,1,9
speed focus,1,27,5,6,4,0,1.179705708,0.375178,0,9
speed focus,1,27,5,5,3,1,1.168720542,0.764662,1,9
speed focus,1,28,5,5,3,1,0.846663875,0.393652833,0,9
speed focus,1,28,5,6,4,0,0.646775917,0.280217667,1,9
speed focus,1,29,5,5,2,1,0.891531,0.440010959,0,9
speed focus,1,29,5,3,1,0,0.713368792,0.552440875,1,9
speed focus,1,30,5,6,4,0,1.110685167,0.233492375,0,9
speed focus,1,30,5,6,1,0,0.868246666,0.691172417,1,9
speed focus,1,31,5,8,4,0,0.679504209,0.204392042,0,9
speed focus,1,31,5,8,1,0,0.505700125,0.376939417,1,9
speed focus,1,32,5,5,4,1,0.748581125,0.167736583,0,9
speed focus,1,32,5,6,4,0,1.001990791,0.13842225,1,9
speed focus,1,33,5,5,4,1,0.824624625,0.282043333,0,9
speed focus,1,33,5,6,1,0,1.311358542,1.033624667,1,9
speed focus,1,34,5,6,4,0,1.519846375,0.218223042,0,9
speed focus,1,34,5,6,3,0,1.007268958,0.170566041,1,9
speed focus,1,35,5,8,4,0,0.734659666,0.315114625,0,9
speed focus,1,35,5,8,4,0,0.861847583,0.254206833,1,9
speed focus,1,36,5,4,1,0,1.472255125,1.42273975,0,9
speed focus,1,36,5,8,2,0,0.654908917,0.760705125,1,9
speed focus,1,37,5,2,4,0,1.016467208,0.93796325,0,9
speed focus,1,37,5,4,1,0,1.2245415,0.792069458,1,9
speed focus,1,38,5,5,4,1,0.769343625,0.214279375,0,9
speed focus,1,38,5,5,4,1,0.755723875,0.349572042,1,9
speed focus,1,39,5,5,2,1,1.916670875,0.189765291,0,9
speed focus,1,39,5,5,4,1,1.274466333,0.123627042,1,9
speed focus,1,40,5,6,4,0,0.764417,0.208527708,0,9
speed focus,1,40,5,6,4,0,0.791662458,0.215044375,1,9
speed focus,1,41,5,5,2,1,1.170253167,0.169752958,0,9
