sat,image_index,subject,stim,response,confidence,correct,resp_rt,conf_rt,repeat,mnist_index
accuracy focus,1,1,2,2,4,1,0.702198584,0.649896375,0,48
accuracy focus,1,1,2,2,4,1,0.70260825,0.268917375,1,48
accuracy focus,1,2,2,4,1,0,1.450748208,0.488193833,0,48
accuracy focus,1,2,2,3,4,0,0.970708,0.428919791,1,48
accuracy focus,1,3,2,2,4,1,0.701576833,0.197865875,0,48
accuracy focus,1,3,2,3,2,0,0.814672666,0.781909083,1,48
accuracy focus,1,4,2,2,2,1,1.105983542,0.2643385,0,48
accuracy focus,1,4,2,2,1,1,1.497341875,0.554770791,1,48
accuracy focus,1,5,2,4,4,0,1.109141875,0.183526292,0,48
accuracy focus,1,5,2,2,4,1,0.807046833,0.202232875,1,48
accuracy focus,1,6,2,2,4,1,0.707890083,0.218281583,0,48
accuracy focus,1,6,2,4,2,0,0.704809667,0.201505958,1,48
accuracy focus,1,7,2,1,2,0,2.161828583,0.688801458,0,48
accuracy focus,1,7,2,2,4,1,1.420415875,0.624822583,1,48
accuracy focus,1,8,2,2,2,1,1.6298535,1.353329042,0,48
accuracy focus,1,8,2,2,3,1,0.812303042,0.38421775,1,48
accuracy focus,1,9,2,2,3,1,0.791519125,1.190417375,0,48
accuracy focus,1,9,2,3,4,0,1.080536291,2.570745541,1,48
accuracy focus,1,10,2,2,4,1,1.458633,0.535114583,0,48
accuracy focus,1,10,2,2,4,1,0.715925458,0.284232125,1,48
accuracy focus,2,1,2,2,4,1,2.086488542,0.344243875,0,322
accuracy focus,2,1,2,8,1,0,0.818227375,0.235250042,1,322
accuracy focus,2,2,2,7,4,0,0.915537875,0.251670417,0,322
accuracy focus,2,2,2,7,2,0,0.836557416,0.346935458,1,322
accuracy focus,2,3,2,2,3,1,0.687878833,0.236813042,0,322
accuracy focus,2,3,2,2,1,1,0.721256083,1.41810325,1,322
accuracy focus,2,4,2,2,4,1,1.199691833,1.1799525,0,322
accuracy focus,2,4,2,2,3,1,0.886681583,0.23162375,1,322
