sat,image_index,subject,stim,response,confidence,correct,resp_rt,conf_rt,repeat,mnist_index
speed focus,1,1,5,5,4,1,0.727209208,0.12075775,0,9
speed focus,1,1,5,8,4,0,0.566475834,0.186408125,1,9
speed focus,1,2,5,4,4,0,0.740370458,0.13590575,0,9
speed focus,1,2,5,4,2,0,0.92176725,0.247506416,1,9
speed focus,1,3,5,2,1,0,0.307568208,2.269485041,0,9
speed focus,1,3,5,3,3,0,0.307126708,0.309177542,1,9
speed focus,1,4,5,6,2,0,1.148291083,0.284323167,0,9
speed focus,1,4,5,2,4,0,0.945715458,1.133047125,1,9
speed focus,1,5,5,7,4,0,0.834847625,0.124237417,0,9
speed focus,1,5,5,6,4,0,0.831931958,0.120866458,1,9
speed focus,1,6,5,8,4,0,0.746280916,0.155476833,0,9
speed focus,1,6,5,4,4,0,0.724399666,0.155940458,1,9
speed focus,1,7,5,5,4,1,0.890897667,0.143480209,0,9
speed focus,1,7,5,8,4,0,0.897382666,0.179436416,1,9
speed focus,1,8,5,5,3,1,1.3987105,0.737508667,0,9
speed focus,1,8,5,5,4,1,0.755863833,0.1845635,1,9
speed focus,1,9,5,6,3,0,1.3413245,3.58752375,0,9
speed focus,1,9,5,6,1,0,1.7210835,1.129515791,1,9
speed focus,1,10,5,8,4,0,0.874928042,0.620781916,0,9
speed focus,1,10,5,5,4,1,0.831056666,0.410096542,1,9
speed focus,2,1,7,4,4,0,1.376381917,0.10476975,0,112
speed focus,2,1,7,7,3,1,0.946073333,0.40502125,1,112
speed focus,2,2,7,7,2,1,0.864547042,0.234716167,0,112
speed focus,2,2,7,7,4,1,0.700567417,0.188395292,1,112
speed focus,2,3,7,1,1,0,0.761526417,2.098387708,0,112
speed focus,2,3,7,7,4,1,0.668988,1.081885167,1,112
speed focus,2,4,7,7,3,1,0.795455375,0.424603375,0,112
speed focus,2,4,7,2,4,0,0.702720042,0.427041,1,112
speed focus,2,5,7,6,4,0,1.056201166,0.303410459,0,112
speed focus,2,5,7,7,4,1,0.709139625,0.204144541,1,112
speed focus,2,6,7,7,4,1,0.733341667,0.169045875,0,112
speed focus,2,6,7,7,4,1,0.6673945,0.122590833,1,112
speed focus,2,7,7,7,4,1,0.76465475,0.1646425,0,112
speed focus,2,7,7,7,4,1,0.709895625,0.13747025,1,112
speed focus,2,8,7,7,4,1,0.594730208,0.206162666,0,112
speed focus,2,8,7,7,2,1,0.803035625,0.557927,1,112
speed focus,2,9,7,7,4,1,1.477118667,0.533507959,0,112
speed focus,2,9,7,7,2,1,0.964283292,1.195414042,1,112
speed focus,2,10,7,7,4,1,3.242046542,0.844148333,0,112
speed focus,2,10,7,7,4,1,0.627957541,0.281411542,1,112
speed focus,3,1,1,4,4,0,0.752270459,0.121995,0,3859
speed focus,3,1,1,8,1,0,0.908641542,0.3618655,1,3859
speed focus,3,2,1,1,1,1,0.871828708,0.186030375,0,3859
speed focus,3,2,1,7,1,0,0.753421209,0.231306625,1,3859
speed focus,3,3,1,3,1,0,1.125409959,1.62035725,0,3859
speed focus,3,3,1,6,1,0,0.613829459,3.224649375,1,3859
speed focus,3,4,1,7,2,0,0.703492541,0.201495458,0,3859
speed focus,3,4,1,7,4,0,0.810391583,0.171949958,1,3859
speed focus,3,5,1,1,4,1,0.753672833,0.208929875,0,3859
speed focus,3,5,1,1,4,1,0.766027916,0.248084291,1,3859
speed focus,3,6,1,1,4,1,0.799773166,0.251664375,0,3859
speed focus,3,6,1,4,4,0,0.6858775,0.152630208,1,3859
speed focus,3,7,1,1,4,1,0.6626695,0.165989458,0,3859
speed focus,3,7,1,1,4,1,0.646368667,0.135235875,1,3859
speed focus,3,8,1,7,4,0,0.762587583,0.52339825,0,3859
speed focus,3,8,1,1,3,1,1.365411375,0.445773791,1,3859
speed focus,3,9,1,7,3,0,0.831237625,1.334531625,0,3859
speed focus,3,9,1,7,2,0,1.384866125,1.233177458,1,3859
speed focus,3,10,1,7,4,0,3.750502041,1.815124125,0,3859
speed focus,3,10,1,1,4,1,0.732451291,0.218260417,1,3859
speed focus,4,1,8,8,4,1,0.876383875,0.283620334,0,339
speed focus,4,1,8,8,4,1,0.582258083,0.137337958,1,339
speed focus,4,2,8,6,4,0,0.785005625,0.139375375,0,339
speed focus,4,2,8,8,4,1,0.81229275,0.393175291,1,339
speed focus,4,3,8,7,3,0,0.542426125,2.097538917,0,339
speed focus,4,3,8,7,2,0,0.69392125,1.202494042,1,339
speed focus,4,4,8,8,4,1,0.787331583,0.150816584,0,339
speed focus,4,4,8,8,3,1,0.826030875,0.296634459,1,339
speed focus,4,5,8,6,4,0,0.518267708,0.169545375,0,339
speed focus,4,5,8,8,4,1,0.654988459,0.162162375,1,339
speed focus,4,6,8,8,3,1,1.255592583,0.168994166,0,339
speed focus,4,6,8,8,4,1,0.736162292,0.169202,1,339
speed focus,4,7,8,8,4,1,0.682356958,0.152568667,0,339
speed focus,4,7,8,2,4,0,0.662783708,0.194760958,1,339
speed focus,4,8,8,8,2,1,0.789435,0.505929417,0,339
speed focus,4,8,8,8,4,1,0.7490585,0.259330833,1,339
speed focus,4,9,8,8,4,1,0.818172958,0.867321166,0,339
speed focus,4,9,8,8,4,1,0.983477042,0.5148505,1,339
speed focus,4,10,8,8,4,1,2.294563875,0.458445334,0,339
speed focus,4,10,8,8,4,1,0.724858833,0.280924167,1,339
